Year,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2010,Yankees,2313,5567,6379,1485,977,275,32,201,859,823,662,36,1136,73,44,33,124,103,30,0.267
2010,Cardinals,2347,5542,6241,1456,1003,285,18,150,736,689,541,78,1027,50,40,66,124,79,41,0.263
2010,Rockies,2379,5530,6265,1452,955,270,54,173,770,741,585,53,1274,47,47,56,103,99,42,0.263
2010,Brewers,2262,5606,6304,1471,963,293,33,182,750,710,546,35,1216,81,35,35,116,81,26,0.262
2010,Phillies,2277,5581,6291,1451,961,290,34,166,772,736,560,69,1064,63,43,44,121,108,21,0.26
2010,Orioles,2240,5554,6109,1440,1022,264,21,133,613,577,424,32,1056,54,45,31,154,76,34,0.259
2010,Braves,2376,5463,6252,1411,935,312,25,139,738,699,634,50,1140,51,35,69,136,63,29,0.258
2010,Giants,2354,5488,6143,1411,935,284,30,162,697,660,487,53,1099,50,41,76,159,55,32,0.257
2010,Cubs,2307,5512,6140,1414,940,298,27,149,685,658,479,32,1236,50,38,60,124,55,31,0.257
2010,Athletics,2255,5448,6117,1396,981,276,30,109,663,619,527,16,1061,47,51,43,129,156,38,0.256
2010,Marlins,2300,5531,6194,1403,920,294,37,152,719,686,514,42,1375,55,43,51,108,92,26,0.254
2010,Dodgers,2310,5426,6140,1368,949,270,29,120,667,621,533,57,1184,46,50,85,123,92,50,0.252
2010,Nationals,2410,5418,6100,1355,925,250,31,149,655,634,503,36,1220,60,47,71,125,110,41,0.25
2010,Diamondbacks,2271,5473,6183,1366,851,301,34,180,713,691,589,45,1529,39,41,41,115,86,41,0.25
2010,Mets,2348,5465,6144,1361,927,266,40,128,656,625,502,53,1095,46,57,74,101,130,44,0.249
2010,Angels,2236,5488,6089,1363,913,276,19,155,681,656,466,28,1070,52,37,42,125,104,52,0.248
2010,Blue Jays,2206,5495,6072,1364,767,319,21,257,755,732,471,25,1164,55,34,16,114,58,20,0.248
2010,Indians,2255,5487,6165,1362,924,290,20,128,646,601,545,34,1184,64,33,36,118,91,33,0.248
2010,Astros,2358,5452,6005,1348,963,252,25,108,611,577,415,27,1025,33,29,75,130,100,36,0.247
2010,Rays,2361,5439,6270,1343,851,295,37,160,802,769,672,30,1292,57,57,39,92,172,47,0.247
2010,Padres,2352,5434,6148,1338,946,236,24,132,665,630,538,67,1183,50,46,79,106,124,50,0.246
2010,Pirates,2327,5386,5974,1303,874,276,27,126,587,570,463,28,1207,33,33,58,119,87,36,0.242
2010,Mariners,2104,5409,5989,1274,930,227,16,101,513,485,459,33,1184,39,40,42,111,142,39,0.236
